Country,Geographic_region,Private_company,End_target,End_target_year,Status_of_end_target,Interim_target,Interim_target_year,GHGs_covered,Scope_1_coverage,Scope_2_coverage,Published_plan,Reporting_mechanism,Accountability_delivery,Carbon_credits,Separate_removal_target,Planning_removals,Historical_emissions,Race_to_zero_member,Industry,log_revenue,log_employees,Scope_3_coverage
BRA,Latin America and the Caribbean,No,Emissions reduction target,2030.0,In corporate strategy,Other,2024.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,Services,24.711805340290063,11.361567548413387,No
CHN,East Asia,No,Net zero,2055.0,In corporate strategy,Other,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Materials,23.22470178876759,10.685903975853956,No
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Net zero or similar,2040.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Yes (nature-based and CCS-based removals),No,No,Fossil Fuels,23.56811707959891,9.648917831534549,Yes
CAN,North America,No,Net zero,2050.0,In corporate strategy,Emissions intensity target,2035.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",Yes,No,Fossil Fuels,23.17021098053385,8.805225202632306,Partial
DEU,Europe,No,Carbon neutral(ity),2030.0,In corporate strategy,Other,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Yes (nature-based and CCS-based removals),No,No,Manufacturing,25.782615101839617,12.074054393245461,Partial
CHN,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,26.99354891613413,11.478861831194436,Not Specified
JPN,East Asia,No,Zero emissions,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,No,No reporting mechanism,Not Specified,Not Specified,No,Not Specified,No,No,"Biotech, health care & pharma",21.886416647064593,8.562931083090092,Yes
USA,North America,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,No,No,No,Annual reporting,Not Specified,No,No,No,No,No,Services,8.13593277200489,8.471358655072438,No
USA,North America,Yes,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,No,Not Specified,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,"Food, beverage & agriculture",23.49585455924869,10.690102307253893,Not Specified
SAU,Western and Central Asia,No,Net zero,2050.0,In corporate strategy,Emissions intensity target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Power generation,23.885740608206163,9.715107681158209,No
THA,East Asia,No,Emissions reduction target,2023.0,Declaration / pledge,Absolute emissions target,2027.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Yes (unspecified),No,No,Transportation services,20.303194577970956,9.479451058842528,Yes
NOR,Europe,No,Net zero,2045.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,No,Not Specified,No,Yes (nature-based and CCS-based removals),No,Yes,Retail,22.33270374958051,9.817330356084954,Yes
CHL,Latin America and the Caribbean,No,No target,2050.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,24.444128336937613,11.245059091624615,Not Specified
DEU,Europe,Yes,Emissions reduction target,2030.0,In corporate strategy,Other,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,No,No,Not Specified,No,No,Retail,24.05547034715733,11.429554725537322,Partial
HKG,East Asia,No,Carbon neutral(ity),2060.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Yes (nature-based and CCS-based removals),No,No,Power generation,23.325436869469176,9.991956200523736,Not Specified
JPN,East Asia,No,Net zero,2050.0,Declaration / pledge,Emissions reduction target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,23.63011225054661,9.876321884463358,No
USA,North America,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Infrastructure,23.887600995195662,10.975088291957388,Not Specified
USA,North America,No,Emissions reduction target,2031.0,In corporate strategy,Net zero or similar,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",Yes,No,Materials,22.532701491351155,8.657129031713755,Yes
USA,North America,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Yes (nature-based and CCS-based removals),Yes,No,Services,23.882434119394787,9.952325334619427,No
USA,North America,No,No target,2040.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Retail,10.063733901678225,10.757924157061597,Not Specified
JPN,East Asia,No,Net zero,2051.0,In corporate strategy,Absolute emissions target,2031.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,No,Not Specified,Yes,No,Manufacturing,24.310832129387524,11.912607214989325,Yes
USA,North America,No,Emissions reduction target,2040.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,No,Not Specified,No,No,No,No,Manufacturing,21.886416647064593,9.375091807576673,No
USA,North America,No,GHG neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2026.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,No,Manufacturing,23.419378400543046,11.382201556243544,Yes
KWT,Western and Central Asia,No,Zero emissions,2050.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Yes (unspecified),No,No,Services,22.428013929366653,9.754784507365798,Yes
JPN,East Asia,No,Net zero,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,20.491333780860156,7.934871565945177,No
