Country,Geographic_region,Private_company,End_target,End_target_year,Status_of_end_target,Interim_target,Interim_target_year,GHGs_covered,Scope_1_coverage,Scope_2_coverage,Published_plan,Reporting_mechanism,Accountability_delivery,Carbon_credits,Separate_removal_target,Planning_removals,Historical_emissions,Race_to_zero_member,Industry,log_revenue,log_employees,Scope_3_coverage
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,Services,9.978826909081944,10.870984575013114,Partial
BMU,Latin America and the Caribbean,No,Net zero,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Services,23.54820978957943,8.881975184248867,No
USA,North America,No,Net zero,2040.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,No,No,Yes,Services,24.50695534584573,10.344995251991222,Partial
USA,North America,No,Emissions reduction target,2031.0,In corporate strategy,Emissions reduction target,2026.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,No,Retail,24.356764707733966,12.04355959836804,No
TWN,East Asia,No,Net zero,2040.0,Declaration / pledge,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,20.9055873945737,8.591929537530255,Yes
USA,North America,No,Emissions reduction target,2033.0,Declaration / pledge,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Services,23.296488567859267,10.12667110305036,Partial
GBR,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",Yes,Yes,"Food, beverage & agriculture",24.456305706869923,11.986055452062393,Yes
JPN,East Asia,No,Net zero,2030.0,In corporate strategy,Absolute emissions target,2026.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,No,No,Yes,Services,25.147549436090525,11.88733324861305,Not Specified
CAN,North America,No,Emissions intensity target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,No,No,No,Retail,22.07445102121167,10.12667110305036,No
USA,North America,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,Yes,No reporting mechanism,Not Specified,Not Specified,No,Not Specified,No,No,Services,22.194131099746297,8.422003004412488,Not Specified
KOR,East Asia,No,Net zero,2040.0,Declaration / pledge,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Retail,23.206253980995275,9.939047727934678,Yes
KOR,East Asia,No,Net zero,2050.0,In corporate strategy,No target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Yes (nature-based and CCS-based removals),No,No,Retail,26.119757459736135,11.771289431210851,No
USA,North America,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Retail,26.29954064462479,12.715900771961074,Partial
CAN,North America,No,Other,2020.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Not Specified,Not Specified,No,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Services,24.505180157050315,10.328787967145063,Not Specified
USA,North America,No,Emissions reduction target,2032.0,Declaration / pledge,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,"Biotech, health care & pharma",25.49192298374724,11.092564969345363,Yes
USA,North America,No,Net zero,2050.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Not Specified,Not Specified,No,No reporting mechanism,Not Specified,Not Specified,No,No,No,Yes,Services,22.533519888974244,9.635673464721814,Not Specified
GBR,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,No,No,No,Services,10.532736007245841,10.997104049659168,Partial
GBR,Europe,No,Net zero,2050.0,In corporate strategy,Net zero or similar,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,Services,24.25785710180827,11.022376212475168,Yes
USA,North America,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,21.311607903695478,8.27308133366583,Not Specified
USA,North America,Yes,Net zero,2050.0,In corporate strategy,Other,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,No,Not Specified,No,Not Specified,Yes,No,Services,23.318520543977904,9.754784507365798,Partial
RUS,Europe,No,Other,2031.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,Materials,23.603250502012223,11.326668173322627,No
CHN,East Asia,No,Carbon neutral(ity),2060.0,Declaration / pledge,Other,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Yes (unspecified),No,No,Manufacturing,24.21673849474813,12.018030758801313,Yes
FRA,Europe,No,Net zero,2050.0,In corporate strategy,Emissions intensity target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Less than annual reporting,Not Specified,Yes,No,Yes (unspecified),No,No,Transportation services,24.25050832548861,11.397626840606765,Yes
USA,North America,No,Emissions reduction target,2030.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,No,No,Yes,Hospitality,22.744680941236368,10.596659732783579,Partial
THA,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions intensity target,2023.0,Not Specified,Not Specified,Not Specified,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,22.388895029219327,8.80956425335415,Not Specified
USA,North America,No,Carbon neutral(ity),2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,No,Not Specified,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,Services,24.5735198159982,10.434145214930487,No
USA,North America,No,Zero emissions,2028.0,In corporate strategy,Emissions reduction target,2024.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,No,Yes,No,No,No,Services,21.182587618476997,5.318119993844216,Partial
COL,Latin America and the Caribbean,No,Net zero,2050.0,In corporate strategy,Other,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,Services,22.439403368219327,9.76180877420419,Yes
DEU,Europe,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Transportation services,24.428289272908252,11.529880905619642,Yes
USA,North America,No,Emissions reduction target,2028.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,"Food, beverage & agriculture",23.04643756364681,9.268703615273097,No
JPN,East Asia,No,Climate neutral,2050.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Materials,23.6198957495124,10.548153271273168,Not Specified
PHL,East Asia,No,Emissions reduction target,2040.0,In corporate strategy,No target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Retail,23.07996025568222,11.367414025869872,Yes
USA,North America,No,Net zero,2040.0,In corporate strategy,Emissions reduction target,2025.0,Not Specified,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Manufacturing,23.139268897065293,10.668978650219241,Yes
GBR,Europe,No,Net zero,2045.0,In corporate strategy,Emissions intensity target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,No,Yes,No,Not Specified,No,Yes,Infrastructure,22.428013929366653,8.719807451477955,Yes
JPN,East Asia,No,Net zero,2060.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,No,Annual reporting,Yes,Not Specified,No,No,No,No,Materials,23.104384807687012,10.56004854652803,Partial
USA,North America,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,"Food, beverage & agriculture",9.649820358671624,10.288783966353765,Partial
TWN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Yes (nature-based and CCS-based removals),No,No,Retail,24.209692453000013,11.326065625733266,Yes
CAN,North America,No,Science-based target,2030.0,In corporate strategy,Other,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,Services,23.60341889470437,10.606362266854584,Partial
CHN,East Asia,Yes,Emissions reduction target,2025.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide only,Not Specified,Yes,Yes,Annual reporting,Yes,No,No,No,No,No,Infrastructure,24.179582517861192,9.463198053273784,Not Specified
CHN,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Materials,23.009924779491804,11.095908894882296,Yes
CHN,East Asia,No,Carbon neutral(ity),2060.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,Infrastructure,25.71895668366361,12.483878609374248,No
AUT,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,Yes,Services,23.94744756064458,10.80151247560339,Partial
GBR,Europe,No,Net zero,2045.0,In corporate strategy,Emissions reduction target,2026.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,Yes,Yes (nature-based and CCS-based removals),No,Yes,"Biotech, health care & pharma",24.647217413259593,11.16479958768697,Yes
HKG,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions intensity target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Infrastructure,22.73816885762201,10.839600519357369,Yes
JPN,East Asia,No,Net zero,2050.0,Declaration / pledge,Other,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,No,Not Specified,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Fossil Fuels,9.496646498248033,9.959867885972235,Yes
ITA,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Less than annual reporting,Yes,Yes,Yes,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Fossil Fuels,22.06821723479247,8.250358951477294,Yes
IND,South Asia,No,Net zero,2040.0,Declaration / pledge,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Yes (unspecified),No,No,Fossil Fuels,24.698357533860317,10.444502847465177,No
USA,North America,No,Net zero,2040.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,Yes,Not Specified,No,Yes,Retail,24.715503842915595,11.412010608265987,Yes
JPN,East Asia,No,Net zero,2040.0,In corporate strategy,Emissions reduction target,2025.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,Yes,Yes (nature-based and CCS-based removals),No,Yes,Retail,24.033954825123555,11.746985217168598,Yes
USA,North America,No,Net zero,2050.0,Declaration / pledge,Emissions reduction target,2033.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Manufacturing,23.098729575446,9.825580063659602,Yes
JPN,East Asia,No,Net zero,2040.0,In corporate strategy,Emissions reduction target,2031.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,No reporting mechanism,Yes,Not Specified,No,Not Specified,No,No,Retail,22.649119040800915,10.359582401595615,Yes
FRA,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2022.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,No,No,No,Yes,Services,23.45763334643093,10.203629181337648,Yes
CHN,East Asia,No,No target,2045.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,No,No,No,No,No,"Biotech, health care & pharma",21.12873094572124,7.997326822998097,No
NLD,Europe,No,Net zero,2040.0,In corporate strategy,Other,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,No,No,No,Yes,Services,22.44513917888903,9.154087430425385,Yes
CHN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions intensity target,2023.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Yes (unspecified),No,No,Manufacturing,24.31033402494134,11.604474033322271,Partial
NLD,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,No,Not Specified,No,Not Specified,No,Yes,Services,23.772538877475824,9.61393706902432,Partial
ESP,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,"Biotech, health care & pharma",22.75207176278916,10.075000910613479,Partial
RUS,Europe,No,No target,2050.0,Proposed / in discussion,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Fossil Fuels,23.681503906124732,11.661354090741,Not Specified
CAN,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Materials,20.55247751715237,3.7612001156935624,Yes
GBR,Europe,No,Net zero,2040.0,In corporate strategy,Other,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Not Specified,No,Yes,Transportation services,23.490465061964592,12.09542037542658,Yes
SWE,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,No,Not Specified,No,Yes,Manufacturing,22.569039894638607,10.013417611908324,Yes
BRA,Latin America and the Caribbean,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,Yes,Yes (unspecified),No,No,Services,24.339574598252394,11.461642696843066,Not Specified
TWN,East Asia,No,Net zero,2050.0,In corporate strategy,Other,2030.0,Carbon dioxide and other GHGs,Not Specified,Not Specified,Yes,Annual reporting,Yes,Yes,No,No,No,No,Manufacturing,25.295189429151204,10.757243088609178,Not Specified
KOR,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,Yes,No reporting mechanism,No,Not Specified,No,No,No,No,Services,23.70302115602807,10.132414348606066,No
MEX,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Not Specified,Not Specified,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,Yes,Services,24.582309917604757,12.092170195651756,Not Specified
GBR,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Yes (nature-based and CCS-based removals),No,No,Fossil Fuels,25.96620790484693,11.51792295668052,No
CHN,East Asia,No,Other,2060.0,Declaration / pledge,Other,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Services,25.119688351916345,12.073238152871593,Partial
USA,North America,No,Net zero,2045.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Yes,Not Specified,No,Not Specified,No,Yes,Services,23.7388007378456,10.239995502805316,Yes
JPN,East Asia,No,Net zero,2040.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,Yes,"Food, beverage & agriculture",9.873234509365107,10.246154845820252,Yes
PER,Latin America and the Caribbean,No,Net zero,2050.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Services,21.365119723645122,8.64241515616962,Yes
TWN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,No,Manufacturing,23.643088516453997,10.833424746444134,Yes
BRA,Latin America and the Caribbean,No,Emissions reduction target,2030.0,Declaration / pledge,No target,2030.0,Carbon dioxide and other GHGs,No,Yes,No,Annual reporting,Not Specified,Not Specified,Yes,Not Specified,No,No,Services,21.27715095074756,7.937017489515454,No
IND,South Asia,No,Carbon neutral(ity),2032.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,Services,23.960649333409616,11.669689868899876,No
CHN,East Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Materials,23.1625647533435,9.775824621045972,Not Specified
ITA,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2035.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Less than annual reporting,Not Specified,Yes,No,Yes (nature-based and CCS-based removals),No,No,Fossil Fuels,9.6638969875516,10.323447106794745,Yes
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,Power generation,22.77559308626311,9.027018314848645,Yes
TWN,East Asia,No,Emissions reduction target,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,Yes,No,"Food, beverage & agriculture",23.742519305590587,10.690102307253893,Yes
USA,North America,Yes,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Services,23.61363759489813,9.754784507365798,Partial
USA,North America,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,Yes,Manufacturing,25.28473488767385,11.74138287270818,Not Specified
JPN,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Yes (nature-based and CCS-based removals),No,No,Fossil Fuels,11.376498455519377,10.684737181317619,Yes
USA,North America,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,No,No,No,No,"Food, beverage & agriculture",23.1860120821496,9.825580063659602,Partial
USA,North America,No,Net zero,2030.0,In corporate strategy,Emissions reduction target,2021.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Materials,23.706368694150896,10.545367754151743,Partial
USA,North America,No,No target,2050.0,Declaration / pledge,No target,2030.0,Not Specified,Not Specified,Not Specified,Yes,Annual reporting,Not Specified,Not Specified,No,No,No,No,Services,20.89216437425282,8.052296499538647,Not Specified
CAN,North America,No,Net zero,2050.0,Declaration / pledge,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,No,Services,24.13014703511001,10.366246250532733,Yes
GBR,Europe,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Retail,22.53988050733522,10.383596203640058,Yes
USA,North America,No,Net zero,2040.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,No,No reporting mechanism,Not Specified,Not Specified,No,Not Specified,No,No,Services,23.03639514391508,10.203629181337648,Yes
FRA,Europe,No,Net zero,2040.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,Yes,Services,23.576281808356477,11.544230314798641,Yes
ITA,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,Yes,Yes (nature-based and CCS-based removals),No,No,Fossil Fuels,11.460905590898102,10.388779960503847,Yes
USA,North America,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,No,No,No,Services,23.218040306015276,10.106469212026385,No
CAN,North America,No,No target,2045.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,"Biotech, health care & pharma",22.821283764321883,9.898525260706313,Not Specified
NLD,Europe,No,Net zero,2040.0,In corporate strategy,Net zero or similar,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,"Food, beverage & agriculture",24.19700091092989,11.295092785974596,Yes
USA,North America,No,Carbon neutral(ity),2030.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Services,22.883711162894606,9.743670851082243,No
USA,North America,No,No target,2050.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,No,No,No,No reporting mechanism,No,No,No,No,No,No,Manufacturing,21.298754974600552,7.563200592358071,No
USA,North America,No,Emissions reduction target,2028.0,In corporate strategy,No target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,No,Materials,23.297251169894185,10.938467575959383,Yes
CHN,East Asia,No,No target,2050.0,Declaration / pledge,No target,2030.0,Not Specified,Not Specified,Not Specified,No,No reporting mechanism,Not Specified,Not Specified,No,Not Specified,No,No,Services,24.34365229464182,10.778602060491535,Not Specified
BRA,Latin America and the Caribbean,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Yes (nature-based and CCS-based removals),No,No,Fossil Fuels,25.234641693659025,10.803364309142028,No
USA,North America,No,Emissions reduction target,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Services,22.284353488649373,8.978282203272398,Partial
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,No,No,Yes,Services,8.520786726926367,9.505320746909074,Yes
JPN,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,No,No,No,No,No,No,Infrastructure,23.07701921660987,9.458449669308141,Partial
EGY,Africa,No,Net zero,2050.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,No reporting mechanism,Not Specified,Yes,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,Yes,Services,22.286869213246092,9.022925868116218,Partial
IND,South Asia,No,Net zero,2040.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,Yes (unspecified),No,No,Services,22.995391722558843,11.686887175419702,Yes
USA,North America,Yes,Net zero,2050.0,In corporate strategy,No target,2024.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,No,No,Not Specified,No,No,Infrastructure,23.805175806787325,9.463198053273784,Yes
CHN,East Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,21.502590714206125,8.623533227187563,Not Specified
CHE,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Infrastructure,23.93006908062083,1.9459101490553132,Yes
USA,North America,No,Emissions intensity target,2025.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Yes,Not Specified,No,No,No,No,Materials,23.598185490340075,10.859018228147887,No
CHN,East Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,No reporting mechanism,Not Specified,Not Specified,No,Not Specified,No,No,Infrastructure,23.460421663252028,10.130384052719645,Not Specified
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2032.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,Yes,"Biotech, health care & pharma",21.65424811795772,9.546884034617925,Yes
SAU,Western and Central Asia,No,Net zero,2050.0,Declaration / pledge,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Less than annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,21.311052502404085,7.831617276352611,No
USA,North America,No,Carbon neutral(ity),2035.0,In corporate strategy,Emissions intensity target,2024.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,Yes,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",Yes,No,Manufacturing,24.373820176764657,11.635151947212842,Partial
VNM,East Asia,No,Zero emissions,2040.0,Declaration / pledge,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,No,No,No,Infrastructure,22.765524587628267,5.908082938168931,Not Specified
